CITY,STATE
AALST,Oost-Vlaanderen
ALLEUR-ANS,Liège
AWANS-OTHEE,Liège
Aalst,Oost-Vlaanderen
Aalter,West-Vlaanderen
Aarlen,Luxembourg
Aarschot,Vlaams-Brabant
Aartrijke,West-Vlaanderen
Aartselaar,Antwerpen
Achet,Brabant wallon
Adinkerke,West-Vlaanderen
Affligem,Vlaams-Brabant
Aiseau-Presles,Hainaut
Alken,Limburg
Alleur-Ans,Liège
Alost,Oost-Vlaanderen
Alveringem,West-Vlaanderen
Amay,Liège
Amblève,Liège
Amel,Liège
Amougies,Hainaut
Andenne,Namur
Anderlecht,Brussels Hoofdstedelijk Gewest
Anderlues,Hainaut
Anhée,Namur
Ans,Liège
Anthisnes,Liège
Antoing,Hainaut
Antwerp,Antwerpen
Antwerpen,Antwerpen
Antwerpen Zandvliet,Antwerpen
Anzegem,West-Vlaanderen
Appels - Dendermonde,Oost-Vlaanderen
Ardooie,West-Vlaanderen
Arendonk,Antwerpen
Arlon,Luxembourg
As,Limburg
Aspelare,Oost-Vlaanderen
Asse,Vlaams-Brabant
Assebroek,West-Vlaanderen
Assenede,Oost-Vlaanderen
Assesse,Namur
Ath,Hainaut
Athus,Luxembourg
Attert,Luxembourg
Attre,Hainaut
Aubange,Luxembourg
Aubel,Liège
Audenarde,Oost-Vlaanderen
Auderghem,Brussels Hoofdstedelijk Gewest
Auvelais,Namur
Avelgem,West-Vlaanderen
Averbode,Vlaams-Brabant
Awans,Liège
Awans-Othee,Liège
Aywaille,Liège
BASTOGNE,Luxembourg
BEVEREN-WAAS,Oost-Vlaanderen
BOCHOLT,Limburg
BRUXELLES,Brussels Hoofdstedelijk Gewest
BUDINGEN-ZOUTLEEUW,Vlaams-Brabant
Baarle-Hertog,Antwerpen
Baelen,Liège
Balegem,Oost-Vlaanderen
Balen,Antwerpen
Bassenge,Liège
Bastogne,Luxembourg
Baudour,Hainaut
Bavikhove,West-Vlaanderen
Beaumont,Hainaut
Beauraing,Namur
Beauvechain,Brabant wallon
Beernem,West-Vlaanderen
Beerse,Antwerpen
Beersel,Vlaams-Brabant
Begijnendijk,Vlaams-Brabant
Bekkevoort,Vlaams-Brabant
Belgrade,Namur
Bellaire,Liège
Beloeil,Hainaut
Belrade,Namur
Belsele,Oost-Vlaanderen
Berchem,Antwerpen
Berchem-Sainte-Agathe,Brussels Hoofdstedelijk Gewest
Berendrecht,Antwerpen
Berg,Vlaams-Brabant
Beringen,Limburg
Berlaar,Antwerpen
Berlare,Oost-Vlaanderen
Berloz,Liège
Bernissart,Hainaut
Bertem,Vlaams-Brabant
Bertogne,Luxembourg
Bertrix,Luxembourg
Bever,Vlaams-Brabant
Beveren,Oost-Vlaanderen
Beveren-Waas,Oost-Vlaanderen
Beverlo,Limburg
Beyne Heusay,Liège
Beyne-Heusay,Liège
Bierbeek,Vlaams-Brabant
Bierce,Hainaut
Biez,Vlaams-Brabant
Bilzen,Limburg
Binche,Hainaut
Bissegem,West-Vlaanderen
Bièvre,Namur
Blankenberge,West-Vlaanderen
Blegny,Liège
Blégny,Liège
Bocholt,Limburg
Boechout,Antwerpen
Boevange,Luxembourg
Boncelles,Liège
Bonheiden,Antwerpen
Booischot,Antwerpen
Boom,Antwerpen
Boortmeerbeek,Vlaams-Brabant
Borgerhout,Antwerpen
Borgloon,Limburg
Bornem,Antwerpen
Borsbeek,Antwerpen
Bouillon,Luxembourg
Boussu,Hainaut
Boutersem,Vlaams-Brabant
Braine lAlleud,Brabant wallon
Braine le compte,Hainaut
Braine-l'Alleud,Brabant wallon
Braine-lAlleud,Brabant wallon
Braine-le-Château,Brabant wallon
Braine-le-Comte,Hainaut
Braives,Liège
Brakel,Oost-Vlaanderen
Brasschaat,Antwerpen
Brecht,Antwerpen
Bredene,West-Vlaanderen
Bree,Limburg
Brugelette,Hainaut
Bruges,West-Vlaanderen
Brugge,West-Vlaanderen
Brunehaut,Hainaut
Brussel,Brussels Hoofdstedelijk Gewest
Brussels,Brussels Hoofdstedelijk Gewest
Bruxelles,Brussels Hoofdstedelijk Gewest
Buggenhout,Oost-Vlaanderen
Bullingen,Liège
Burdinne,Liège
Burg-Reuland,Liège
Butgenbach,Liège
Celles,Hainaut
Cerfontaine,Namur
Chapelle-lez-Herlaimont,Hainaut
Charleroi,Hainaut
Chastre,Brabant wallon
Chatelet,Hainaut
Chaudfontaine,Liège
Chaumont-Gistoux,Brabant wallon
Chimay,Hainaut
Chiny,Luxembourg
Chièvres,Hainaut
Châtelet,Hainaut
Ciney,Namur
Ciplet,Liège
Clavier,Liège
Clermont Sous Huy,Liège
Colfontaine,Hainaut
Comblain-au-Pont,Liège
Comines-Warneton,Hainaut
Cornesse,Liège
Cour sur heure,Hainaut
Courcelles,Hainaut
Court-Saint-Etienne,Brabant wallon
Court-Saint-Étienne,Brabant wallon
Courtrai,West-Vlaanderen
Couvin,Namur
Crisnee,Liège
Crisnée,Liège
Dadizele,West-Vlaanderen
Dalhem,Liège
Damme,West-Vlaanderen
Dampremy,Hainaut
Daverdisse,Luxembourg
De Haan,West-Vlaanderen
De Panne,West-Vlaanderen
De Pinte,Oost-Vlaanderen
Deerlijk,West-Vlaanderen
Deinze,Oost-Vlaanderen
Denderbelle,Oost-Vlaanderen
Denderhoutem,Oost-Vlaanderen
Denderleeuw,Oost-Vlaanderen
Dendermonde,Oost-Vlaanderen
Dentergem,West-Vlaanderen
Dessel,Antwerpen
Desselgem,West-Vlaanderen
Destelbergen,Oost-Vlaanderen
Deurle,Oost-Vlaanderen
Deurne,Antwerpen
Diepenbeek,Limburg
Diest,Vlaams-Brabant
Dikkebus,West-Vlaanderen
Diksmuide,West-Vlaanderen
Dilbeek,Vlaams-Brabant
Dilsen-Stokkem,Limburg
Dinant,Namur
Dison,Liège
Doische,Namur
Donceel,Liège
Doornik,Hainaut
Dottenijs,Hainaut
